f.name,id,,f.size,AnimalID,LabID,Location,Broad,Use for vcf,Sex,Haplotype,cov.mean,X
z0114341_Pcra_RunH106L6_n0002004.fastq.gz.bam,z0114341,0,"81,906,310.00",114341,114341,Gabon,Eatl,,,NA,48.7340776,
z0011650_Pcra_RunH106L6_n0001956.fastq.gz.bam,z0011650,0,"335,542,354.00",11650,11650,Mex,ETP,,F,9,135.1117618,
z0018458_Pcra_RunH106L6_n0001972.fastq.gz.bam,z0018458,0,"289,614,134.00",18458,18458,Mex,ETP,,M,9,172.3249756,
z0018301_Pcra_RunH119L8nuc_n0002411.fastq.gz.bam,z0018301,0,"283,163,665.00",18301,18301,Pan,ETP,,M,12,195.0968155,
z0038074_Pcra_RunH106L6_n0001983.fastq.gz.bam,z0038074,0,"246,731,372.00",38074,38074,Mex,ETP,,M,11,125.0043314,
z0072688_Pcra_RunH106L6_n0001995.fastq.gz.bam,z0072688,0,"177,824,401.00",72688,72688,Warm pool,ETP,,F,10,129.079307,
z0018454_Pcra_RunH119L8nuc_n0002415.fastq.gz.bam,z0018454,0,"171,034,996.00",18454,18454,Mex,ETP,,M,10,194.5977916,l
z0018462_Pcra_RunH106L6_n0001962.fastq.gz.bam,z0018462,0,"145,672,760.00",18462,18462,Mex,ETP,,F,9,85.35675939,
z0072696_Pcra_RunH119L8nuc_n0002354.fastq.gz.bam,z0072696,0,"145,641,055.00",72696,72696,Warm pool,ETP,,M,29,26.15233041,
z0067067_Pcra_RunH106L6_n0001993.fastq.gz.bam,z0067067,0,"123,310,592.00",67067,67067,Warm pool,ETP,,M,27,94.42825769,
z0018461_Pcra_RunH106L6_n0001973.fastq.gz.bam,z0018461,0,"106,511,166.00",18461,18461,Mex,ETP,,F,9,40.23822596,
z0016143_Pcra_RunH106L6_n0001958.fastq.gz.bam,z0016143,0,"78,610,714.00",16143,16143,Pan,ETP,,M,10,56.57473158,
z0016148_Pcra_RunH119L8nuc_n0002341.fastq.gz.bam,z0016148,0,"72,517,944.00",16148,16148,Pan,ETP,,M,10,27.2806857,
z0072692_Pcra_RunH106L6_n0001996.fastq.gz.bam,z0072692,0,"53,612,577.00",72692,72692,Warm pool,ETP,,M,10,195.86347,xl
z0072696_Pcra_RunH106L6_n0002014.fastq.gz.bam,z0072696,,"31,376,962.00",72696,72696,Warm pool,ETP,,M,29,26.15233041,
z0016148_Pcra_RunH106L6_n0001971.fastq.gz.bam,z0016148,,"21,731,193.00",16148,16148,Pan,ETP,,M,10,27.2806857,
z0011648_Pcra_RunH106L6_n0001969.fastq.gz.bam,z0011648,,"20,598,338.00",11648,11648,Mex,ETP,,M,9,27.54984139,
z0114824_Pcra_RunH106L6_n0001953.fastq.gz.bam,z0114824,0,"75,761,503.00",114824,114824,Falklands,Falklands,,M,NA,86.00420937,
z0114842_Pcra_RunH119L8nuc_n0002416.fastq.gz.bam,z0114842,0,"67,606,830.00",114842,114842,Falklands,Falklands,,F,NA,195.931613,l
z0114839_Pcra_RunH119L8nuc_n0002414.fastq.gz.bam,z0114839,0,"61,420,978.00",114839,114839,Falklands,Falklands,,M,NA,194.7759273,
z0114824_Pcra_RunH106L6_n0001967.fastq.gz.bam,z0114824,1,"59,046,841.00",114824,114824,Falklands,Falklands,,M,NA,86.00420937,
z0114840_Pcra_RunH106L6_n0001968.fastq.gz.bam,z0114840,1,"57,183,702.00",114840,114840,Falklands,Falklands,,M,NA,196.5915081,
z0114834_Pcra_RunH119L8nuc_n0002413.fastq.gz.bam,z0114834,,"25,891,340.00",114834,114834,Falklands,Falklands,,F,NA,191.0828453,
z0114824_Pcra_RunH106L6_n0001960.fastq.gz.bam,z0114824,,"21,278,729.00",114824,114824,Falklands,Falklands,,M,NA,86.00420937,
z0114840_Pcra_RunH106L6_n0001961.fastq.gz.bam,z0114840,,"9,766,720.00",114840,114840,Falklands,Falklands,,M,NA,196.5915081,
z0114840_Pcra_RunH106L6_n0001954.fastq.gz.bam,z0114840,,"6,037,183.00",114840,114840,Falklands,Falklands,,M,NA,196.5915081,
z0114890_Pcra_RunH119L8nuc_n0002408.fastq.gz.bam,z0114890,0,"139,461,420.00",114890,114890,GulfMex,GulfMex,,F,NA,NA,
z0114886_Pcra_RunH119L8nuc_n0002404.fastq.gz.bam,z0114886,0,"132,465,975.00",114886,114886,GulfMex,GulfMex,,F,NA,NA,
z0116971_Pcra_RunH119L8nuc_n0002430.fastq.gz.bam,z0116971,0,"257,583,526.00",116971,116971,Oman,IO,,,NA,175.7422523,
z0009883_Pcra_RunH106L6_n0002046.fastq.gz.bam,z0009883,0,"103,020,054.00",9883,9883,MALDIVES,IO,,M,21,68.72626891,
