"","Animal.ID","CR.hap","Location","Fine","Broad","Ocean_Basin"
"117","z0073895",25,"HIPel","CNP-SE","CNP","North Pacific"
"118","z0073896",25,"HIPel","CNP-SE","CNP","North Pacific"
"119","z0073897",9,"HIPel","CNP-SE","CNP","North Pacific"
"120","z0074710",26,"AmSamoa","AmSamoa","Spac","South Pacific"
"121","z0075660",1,"MHI","MHI","MHI","North Pacific"
"122","z0075661",1,"MHI","MHI","MHI","North Pacific"
"123","z0075662",2,"MHI","MHI","MHI","North Pacific"
"124","z0075663",2,"MHI","MHI","MHI","North Pacific"
"125","z0075665",1,"MHI","MHI","MHI","North Pacific"
"126","z0075666",2,"MHI","MHI","MHI","North Pacific"
"127","z0075676",1,"MHI","MHI","MHI","North Pacific"
"128","z0075677",2,"MHI","MHI","MHI","North Pacific"
"129","z0075678",1,"MHI","MHI","MHI","North Pacific"
"130","z0075679",1,"MHI","MHI","MHI","North Pacific"
"131","z0079762",17,"AmSamoa","AmSamoa","Spac","South Pacific"
"132","z0079763",17,"AmSamoa","AmSamoa","Spac","South Pacific"
"133","z0079764",17,"AmSamoa","AmSamoa","Spac","South Pacific"
"134","z0079765",17,"AmSamoa","AmSamoa","Spac","South Pacific"
"135","z0079904",9,"CNPLongLine","CNP-SE","CNP","North Pacific"
"136","z0091081",1,"MHI","MHI","MHI","North Pacific"
"137","z0091082",1,"MHI","MHI","MHI","North Pacific"
"138","z0091083",1,"MHI","MHI","MHI","North Pacific"
"139","z0091084",1,"MHI","MHI","MHI","North Pacific"
"140","z0091085",1,"MHI","MHI","MHI","North Pacific"
"141","z0091086",1,"MHI","MHI","MHI","North Pacific"
"142","z0091274",1,"MHI","MHI","MHI","North Pacific"
"143","z0091275",1,"MHI","MHI","MHI","North Pacific"
"144","z0091276",1,"MHI","MHI","MHI","North Pacific"
"145","z0091277",1,"MHI","MHI","MHI","North Pacific"
"146","z0091278",1,"MHI","MHI","MHI","North Pacific"
"147","z0091284",1,"MHI","MHI","MHI","North Pacific"
"148","z0091285",2,"MHI","MHI","MHI","North Pacific"
"149","z0092254",1,"MHI","MHI","MHI","North Pacific"
"150","z0092256",1,"MHI","MHI","MHI","North Pacific"
"151","z0093154",5,"Australia","Australia","IO","Indian Ocean"
"152","z0093155",5,"Australia","Australia","IO","Indian Ocean"
"153","z0093156",5,"Australia","Australia","IO","Indian Ocean"
"154","z0094783",9,"CNPLongLine","CNP-SE","CNP","North Pacific"
"155","z0094784",9,"CNPLongLine","CNP-NW","CNP","North Pacific"
"156","z0098732",2,"MHI","MHI","MHI","North Pacific"
"157","z0098734",1,"MHI","MHI","MHI","North Pacific"
"158","z0098735",1,"MHI","MHI","MHI","North Pacific"
"159","z0098736",2,"MHI","MHI","MHI","North Pacific"
"160","z0098737",2,"MHI","MHI","MHI","North Pacific"
"161","z0098738",2,"MHI","MHI","MHI","North Pacific"
"162","z0098740",1,"MHI","MHI","MHI","North Pacific"
"163","z0098743",1,"MHI","MHI","MHI","North Pacific"
"164","z0098744",1,"MHI","MHI","MHI","North Pacific"
"165","z0098745",2,"MHI","MHI","MHI","North Pacific"
"166","z0098746",2,"MHI","MHI","MHI","North Pacific"
"167","z0102207",9,"Pelagic","CNP-NW","CNP","North Pacific"
"168","z0102208",9,"Pelagic","CNP-NW","CNP","North Pacific"
"169","z0102210",9,"Pelagic","CNP-NW","CNP","North Pacific"
"170","z0102211",30,"Pelagic","CNP-NW","CNP","North Pacific"
"171","z0102212",30,"Pelagic","CNP-NW","CNP","North Pacific"
"172","z0102213",30,"Pelagic","CNP-NW","CNP","North Pacific"
"173","z0102215",30,"Pelagic","CNP-NW","CNP","North Pacific"
"174","z0102216",26,"Pelagic","CNP-SE","CNP","North Pacific"
"175","z0102217",1,"NWHI","NWHI","NWHI","North Pacific"
"176","z0102218",1,"NWHI","NWHI","NWHI","North Pacific"
"177","z0102219",1,"NWHI","NWHI","NWHI","North Pacific"
"178","z0102221",1,"NWHI","NWHI","NWHI","North Pacific"
"179","z0102222",1,"NWHI","NWHI","NWHI","North Pacific"
"180","z0102223",1,"NWHI","NWHI","NWHI","North Pacific"
"181","z0102224",1,"NWHI","NWHI","NWHI","North Pacific"
"182","z0102225",1,"NWHI","NWHI","NWHI","North Pacific"
"183","z0102226",1,"NWHI","NWHI","NWHI","North Pacific"
"184","z0102227",1,"NWHI","NWHI","NWHI","North Pacific"
"185","z0102229",31,"NWHI","NWHI","NWHI","North Pacific"
"186","z0102230",1,"NWHI","NWHI","NWHI","North Pacific"
"187","z0102233",1,"NWHI","NWHI","NWHI","North Pacific"
"188","z0102431",1,"NWHI","NWHI","NWHI","North Pacific"
"189","z0102433",1,"NWHI","NWHI","NWHI","North Pacific"
"190","z0102434",1,"NWHI","NWHI","NWHI","North Pacific"
"191","z0102435",1,"NWHI","NWHI","NWHI","North Pacific"
"192","z0102436",1,"NWHI","NWHI","NWHI","North Pacific"
"193","z0102437",1,"NWHI","NWHI","NWHI","North Pacific"
"194","z0102438",1,"NWHI","NWHI","NWHI","North Pacific"
"195","z0102439",1,"NWHI","NWHI","NWHI","North Pacific"
"196","z0102483",1,"MHI","MHI","MHI","North Pacific"
"197","z0102485",1,"MHI","MHI","MHI","North Pacific"
"198","z0102500",1,"MHI","MHI","MHI","North Pacific"
"199","z0108128",1,"MHI","MHI","MHI","North Pacific"
"200","z0108129",1,"MHI","MHI","MHI","North Pacific"
"201","z0108130",1,"MHI","MHI","MHI","North Pacific"
"202","z0108131",1,"MHI","MHI","MHI","North Pacific"
"203","z0108132",1,"MHI","MHI","MHI","North Pacific"
"204","z0108133",1,"MHI","MHI","MHI","North Pacific"
"205","z0108134",1,"MHI","MHI","MHI","North Pacific"
"206","z0108135",1,"MHI","MHI","MHI","North Pacific"
"207","z0108136",1,"MHI","MHI","MHI","North Pacific"
"208","z0108138",1,"MHI","MHI","MHI","North Pacific"
"209","z0108139",1,"MHI","MHI","MHI","North Pacific"
"210","z0108157",6,"Palm","Palm","CNP","North Pacific"
"211","z0108158",33,"Palm","Palm","CNP","North Pacific"
"212","z0114550",44,"NewCal","NewCal","Spac","South Pacific"
"213","z0114824",41,"Falklands","Falklands","Atl-South","South Atlantic"
"214","z0114825",41,"Falklands","Falklands","Atl-South","South Atlantic"
"215","z0114826",17,"Falklands","Falklands","Atl-South","South Atlantic"
"216","z0114827",41,"Falklands","Falklands","Atl-South","South Atlantic"
"217","z0114828",17,"Falklands","Falklands","Atl-South","South Atlantic"
"218","z0114829",41,"Falklands","Falklands","Atl-South","South Atlantic"
"219","z0114830",41,"Falklands","Falklands","Atl-South","South Atlantic"
"220","z0114831",17,"Falklands","Falklands","Atl-South","South Atlantic"
"221","z0114832",17,"Falklands","Falklands","Atl-South","South Atlantic"
"222","z0114833",17,"Falklands","Falklands","Atl-South","South Atlantic"
"223","z0114834",17,"Falklands","Falklands","Atl-South","South Atlantic"
"224","z0114835",17,"Falklands","Falklands","Atl-South","South Atlantic"
"225","z0114836",41,"Falklands","Falklands","Atl-South","South Atlantic"
"226","z0114837",17,"Falklands","Falklands","Atl-South","South Atlantic"
"227","z0114838",41,"Falklands","Falklands","Atl-South","South Atlantic"
"228","z0114839",17,"Falklands","Falklands","Atl-South","South Atlantic"
"229","z0114840",41,"Falklands","Falklands","Atl-South","South Atlantic"
"230","z0114841",17,"Falklands","Falklands","Atl-South","South Atlantic"
"231","z0114842",41,"Falklands","Falklands","Atl-South","South Atlantic"
"232","z0114843",17,"Falklands","Falklands","Atl-South","South Atlantic"
"233","z0114890",43,"GulfMex","GulfMex-weird","Atl-weird","North Atlantic"
"234","z0114945",9,"NWHIPelagic","CNP-NW","NWHI","North Pacific"
"235","z0114946",9,"NWHIPelagic","CNP-NW","NWHI","North Pacific"
"236","z0114947",9,"NWHIPelagic","CNP-NW","NWHI","North Pacific"
"237","z0114948",9,"NWHIPelagic","CNP-NW","NWHI","North Pacific"
"238","z0114957",9,"NWHIPelagic","CNP-NW","NWHI","North Pacific"
"239","z0116576",34,"Marianas","CNMI","Wpac","North Pacific"
"240","z0116577",34,"Marianas","CNMI","Wpac","North Pacific"
"241","z0116578",7,"Marianas","CNMI","Wpac","North Pacific"
"242","z0116579",34,"Marianas","CNMI","Wpac","North Pacific"
"243","z0116580",7,"Marianas","CNMI","Wpac","North Pacific"
"244","z0116581",7,"Marianas","CNMI","Wpac","North Pacific"
"245","z0116582",34,"Marianas","CNMI","Wpac","North Pacific"
"246","z0116583",34,"Marianas","CNMI","Wpac","North Pacific"
"247","z0116584",7,"Marianas","CNMI","Wpac","North Pacific"
"248","z0116585",34,"Marianas","CNMI","Wpac","North Pacific"
"249","z0116586",34,"Marianas","CNMI","Wpac","North Pacific"
"250","z0116587",9,"Marianas","CNMI","Wpac","North Pacific"
"251","z0116588",9,"Marianas","CNMI","Wpac","North Pacific"
"252","z0116589",9,"Marianas","CNMI","Wpac","North Pacific"
"253","z0116590",9,"Marianas","CNMI","Wpac","North Pacific"
"254","z0116591",9,"Marianas","CNMI","Wpac","North Pacific"
"255","z0116592",1,"MHI","MHI","MHI","North Pacific"
"256","z0117293",26,"HIPel","CNP-SE","CNP","North Pacific"
"257","z0117294",26,"HIPel","CNP-SE","CNP","North Pacific"
"258","z0117295",26,"HIPel","CNP-SE","CNP","North Pacific"
"259","z0117296",26,"HIPel","CNP-SE","CNP","North Pacific"
"260","z0117297",26,"HIPel","CNP-SE","CNP","North Pacific"
"261","z0117298",26,"HIPel","CNP-SE","CNP","North Pacific"
"262","z0123188",1,"MHI","MHI","MHI","North Pacific"
"263","z0123189",32,"HIPel","CNP-NW","CNP","North Pacific"
"264","z0123190",32,"HIPel","CNP-NW","CNP","North Pacific"
"265","z0123192",32,"HIPel","CNP-NW","CNP","North Pacific"
"266","z0125877",26,"AmSamoa","AmSamoa","Spac","South Pacific"
"267","z0125878",32,"AmSamoa","AmSamoa","Spac","South Pacific"
"268","z0132631",1,"MHI","MHI","MHI","North Pacific"
"269","z0132632",1,"MHI","MHI","MHI","North Pacific"
"270","z0132633",2,"MHI","MHI","MHI","North Pacific"
"271","z0132634",2,"MHI","MHI","MHI","North Pacific"
"272","z0132635",1,"MHI","MHI","MHI","North Pacific"
"273","z0132636",2,"MHI","MHI","MHI","North Pacific"
"274","z0132638",2,"MHI","MHI","MHI","North Pacific"
"275","z0132640",1,"MHI","MHI","MHI","North Pacific"
"276","z0132641",1,"MHI","MHI","MHI","North Pacific"
"277","z0132642",1,"MHI","MHI","MHI","North Pacific"
"278","z0132660",2,"MHI","MHI","MHI","North Pacific"
"279","z0132661",1,"MHI","MHI","MHI","North Pacific"
"280","z0143687",30,"HIPel","CNP-NW","CNP","North Pacific"
"281","z0143719",26,"Guam","CNMI","Wpac","North Pacific"
"282","z0143720",26,"Guam","CNMI","Wpac","North Pacific"
"283","z0143721",26,"Guam","CNMI","Wpac","North Pacific"
"284","z0143722",9,"Guam","CNMI","Wpac","North Pacific"
"285","z0143723",26,"Guam","CNMI","Wpac","North Pacific"
"286","z0143724",26,"Guam","CNMI","Wpac","North Pacific"
"287","z0143726",9,"Guam","CNMI","Wpac","North Pacific"
"288","z0143727",9,"Guam","CNMI","Wpac","North Pacific"
"289","z0143733",34,"Tinian","CNMI","Wpac","North Pacific"
"290","z0143734",34,"Saipan/Tinian","CNMI","Wpac","North Pacific"
"291","z0143735",34,"Saipan/Tinian","CNMI","Wpac","North Pacific"
"292","z0143736",34,"Saipan/Tinian","CNMI","Wpac","North Pacific"
"293","z0143737",34,"Saipan/Tinian","CNMI","Wpac","North Pacific"
"294","z0143739",34,"Saipan/Tinian","CNMI","Wpac","North Pacific"
"295","z0143740",34,"Saipan/Tinian","CNMI","Wpac","North Pacific"
"296","z0146451",27,"CACurrent","CACurrent","Epac","North Pacific"
"297","z0146452",35,"CACurrent","CACurrent","Epac","North Pacific"
"298","z0146453",36,"CACurrent","CACurrent","Epac","North Pacific"
"299","z0146454",35,"CACurrent","CACurrent","Epac","North Pacific"
"300","z0146455",27,"CACurrent","CACurrent","Epac","North Pacific"
"301","z0159618",1,"MHI","MHI","MHI","North Pacific"
"302","z0159619",1,"MHI","MHI","MHI","North Pacific"
"303","z0159620",1,"MHI","MHI","MHI","North Pacific"
"304","z0159746",46,"Asuncion-offshore","CNMI","Wpac","North Pacific"
"305","z0159747",46,"Asuncion-offshore","CNMI","Wpac","North Pacific"
"306","z0159748",46,"Asuncion-offshore","CNMI","Wpac","North Pacific"
"307","z0159783",47,"Guam","CNMI","Wpac","North Pacific"
"308","z0159988",1,"MHI","MHI","MHI","North Pacific"
"309","z0160208",1,"MHI","MHI","MHI","North Pacific"
"310","z0175867",1,"MHI","MHI","MHI","North Pacific"
"311","z0175874",1,"MHI","MHI","MHI","North Pacific"
"312","z0178364",1,"MHI","MHI","MHI","North Pacific"
"313","z0183541",1,"MHI","MHI","MHI","North Pacific"
"314","z0183542",1,"MHI","MHI","MHI","North Pacific"
"315","z0183543",1,"MHI","MHI","MHI","North Pacific"
"316","z0183544",1,"MHI","MHI","MHI","North Pacific"
"317","z0186412",9,"PMNM","CNP-NW","CNP","North Pacific"
"318","z0186413",37,"PMNM","CNP-NW","CNP","North Pacific"
"319","z0186415",9,"MHI","MHI","MHI","North Pacific"
"320","z0186416",9,"MHI","MHI","MHI","North Pacific"
"321","z0186417",38,"MHI","MHI","MHI","North Pacific"
"322","z0186418",38,"MHI","MHI","MHI","North Pacific"
"323","z0186419",38,"MHI","MHI","MHI","North Pacific"
"324","z0186420",38,"MHI","MHI","MHI","North Pacific"
"325","z0186421",38,"MHI","MHI","MHI","North Pacific"
"326","z0186422",9,"MHI","MHI","MHI","North Pacific"
"327","z0186423",39,"HIPel","CNP-NW","CNP","North Pacific"
"328","z0186425",38,"HIPel","CNP-NW","CNP","North Pacific"
"329","z0186426",40,"MHI","MHI","MHI","North Pacific"
"330","z0186427",9,"MHI","MHI","MHI","North Pacific"
"331","z0186428",38,"MHI","MHI","MHI","North Pacific"
"332","z0186429",9,"MHI","MHI","MHI","North Pacific"
"333","z0186430",9,"MHI","MHI","MHI","North Pacific"
"334","z0186431",1,"MHI","MHI","MHI","North Pacific"
"335","z0186432",1,"MHI","MHI","MHI","North Pacific"
"336","z0045922",1,"MHI","MHI","MHI","North Pacific"
"337","z0186434",1,"MHI","MHI","MHI","North Pacific"
"338","z0186436",38,"MHI-Offshore","CNP-NW","CNP","North Pacific"
"339","z0186437",38,"MHI-Offshore","CNP-NW","CNP","North Pacific"
"340","z0186439",38,"MHI-Offshore","CNP-NW","CNP","North Pacific"
"341","z0186441",38,"MHI-Offshore","CNP-NW","CNP","North Pacific"
"342","z0186442",38,"MHI-Offshore","CNP-NW","CNP","North Pacific"
"343","z0186445",38,"MHI-Offshore","CNP-NW","CNP","North Pacific"
"344","z0186446",38,"MHI-Offshore","CNP-NW","CNP","North Pacific"
"345","z0186447",1,"MHI","MHI","MHI","North Pacific"
"346","z0186448",1,"MHI","MHI","MHI","North Pacific"
"347","z0186449",1,"MHI","MHI","MHI","North Pacific"
"348","z0186450",1,"MHI","MHI","MHI","North Pacific"
"349","z0186451",1,"MHI","MHI","MHI","North Pacific"
"350","z0186452",1,"MHI","MHI","MHI","North Pacific"
"351","z0045921",1,"MHI","MHI","MHI","North Pacific"
"352","z0187740",1,"MHI","MHI","MHI","North Pacific"
"353","z0190862",1,"MHI","MHI","MHI","North Pacific"
"354","z0190863",1,"MHI","MHI","MHI","North Pacific"
"355","z0190864",1,"MHI","MHI","MHI","North Pacific"
"356","z0190865",1,"MHI","MHI","MHI","North Pacific"
"357","z0190866",1,"MHI","MHI","MHI","North Pacific"
"358","z0190867",1,"MHI","MHI","MHI","North Pacific"
"359","z0196951",2,"MHI","MHI","MHI","North Pacific"
"360","z0196952",2,"MHI","MHI","MHI","North Pacific"
"361","z0198374",1,"MHI","MHI","MHI","North Pacific"
"362","z0198375",1,"MHI","MHI","MHI","North Pacific"
"363","z0198376",1,"MHI","MHI","MHI","North Pacific"
"364","z0202045",6,"HIPel","CNP-SE","CNP","North Pacific"
"365","z0202046",48,"HIPel","CNP-SE","CNP","North Pacific"
"366","z0202047",25,"HIPel","CNP-SE","CNP","North Pacific"
"367","z0202048",48,"HIPel","CNP-SE","CNP","North Pacific"
"368","z0202050",1,"MHI","MHI","MHI","North Pacific"
"369","z0202052",1,"MHI","MHI","MHI","North Pacific"
"370","z0203249",1,"Kauai","MHI","MHI","North Pacific"
"371","z0203250",1,"Kauai","MHI","MHI","North Pacific"
"372","z0203251",1,"Kauai","MHI","MHI","North Pacific"
"373","z0205939",25,"HIPel","CNP-SE","CNP","North Pacific"
"374","z0206164",45,"Australia","Australia","IO","Indian Ocean"
"375","z0206166",45,"Australia","Australia","IO","Indian Ocean"
"376","z0206167",45,"Australia","Australia","IO","Indian Ocean"
"377","z0206168",45,"Australia","Australia","IO","Indian Ocean"
"378","z0206169",45,"Australia","Australia","IO","Indian Ocean"
"379","z0206170",45,"Australia","Australia","IO","Indian Ocean"
"380","z0206171",45,"Australia","Australia","IO","Indian Ocean"
"381","z0207787",26,"HIPel","CNP-SE","CNP","North Pacific"
"382","z0207792",1,"MHI","MHI","MHI","North Pacific"
"383","z0207793",1,"MHI","MHI","MHI","North Pacific"
"384","z0207802",1,"MHI","MHI","MHI","North Pacific"
"385","z0207803",1,"MHI","MHI","MHI","North Pacific"
"386","z0207807",1,"MHI","MHI","MHI","North Pacific"
"387","z0207808",1,"MHI","MHI","MHI","North Pacific"
"388","z0207809",1,"MHI","MHI","MHI","North Pacific"
"389","z0207810",1,"MHI","MHI","MHI","North Pacific"
"390","z0207811",1,"MHI","MHI","MHI","North Pacific"
"391","z0207813",1,"MHI","MHI","MHI","North Pacific"
"392","z0207822",1,"MHI","MHI","MHI","North Pacific"
"393","z0207823",1,"MHI","MHI","MHI","North Pacific"
"394","z0211011",1,"MHI","MHI","MHI","North Pacific"
"395","z0211012",1,"MHI","MHI","MHI","North Pacific"
"396","z0211014",1,"MHI","MHI","MHI","North Pacific"
"397","z0175251",1,"MHI","MHI","MHI","North Pacific"
"398","z0211020",1,"MHI","MHI","MHI","North Pacific"
"399","z0211022",1,"MHI","MHI","MHI","North Pacific"
"400","z0214432",49,"HIPel","CNP-NW","CNP","North Pacific"
"401","z0214433",49,"HIPel","CNP-NW","CNP","North Pacific"
"402","z0211021",1,"MHI","MHI","MHI","North Pacific"
"403","z0216889",1,"MHI","MHI","MHI","North Pacific"
"404","z0216897",6,"HIPel","CNP-SE","CNP","North Pacific"
"405","z0216898",6,"HIPel","CNP-SE","CNP","North Pacific"
"406","z0216899",25,"HIPel","CNP-SE","CNP","North Pacific"
"407","z0196616",23,"Florida","Florida-weird","Atl-weird","North Atlantic"
"408","z0196617",23,"Florida","Florida-weird","Atl-weird","North Atlantic"
"409","z0196620",23,"Florida","Florida-weird","Atl-weird","North Atlantic"
"410","z0196621",23,"Florida","Florida-weird","Atl-weird","North Atlantic"
"411","z0114887",24,"GulfMex","GulfMex-weird","Atl-weird","North Atlantic"
"412","z0114888",24,"FrenchGuiana","FrenchGuiana-weird","Atl-weird","North Atlantic"
"413","z0185087",30,"HIPel","CNP-NW","CNP","North Pacific"
"414","z0114889",43,"GulfMex","GulfMex-weird","Atl-weird","North Atlantic"
"415","z0114341",45,"Gabon","Gabon","Atl-South","South Atlantic"
"416","z0114342",45,"Gabon","Gabon","Atl-South","South Atlantic"
"417","z0116971",45,"Oman","Oman","IO","Indian Ocean"
"418","z0116972",45,"Oman","Oman","IO","Indian Ocean"
"419","z0116975",45,"Oman","Oman","IO","Indian Ocean"
"420","z0114886",50,"GulfMex","GulfMex-normal","Atl-normal","North Atlantic"
"421","z0114891",50,"Florida","Florida-normal","Atl-normal","North Atlantic"
"422","z0196618",23,"Florida","Florida-weird","Atl-weird","North Atlantic"
"423","z0196619",23,"Florida","Florida-weird","Atl-weird","North Atlantic"
"424","z0175342",52,"Caribbean","StVincent","Atl-weird","North Atlantic"
"425","Pcra004",24,"SEFSC-biopsy","Atl-weird","Atl-weird","North Atlantic"
"426","Pcra006",51,"SEFSC-bycatch","Atl-unknown","Atl-unknown","North Atlantic"
"427","Pcra011",50,"SEFSC-biopsy","Atl-normal","Atl-normal","North Atlantic"
"428","Pcra014",23,"SEFSC-Massstranding","Atl-weird","Atl-weird","North Atlantic"
"429","Pcra020",23,"SEFSC-Massstranding","Atl-weird","Atl-weird","North Atlantic"
"430","Pcra021",23,"SEFSC-Massstranding","Atl-weird","Atl-weird","North Atlantic"
"431","z0217548",9,"HIPel","CNP-SE","CNP","North Pacific"
